tweet_id,timestamp,retweeted_status_id,rating_numerator,rating_denominator,name,dogtype,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,created_at,retweet_count,favorite_count,possibly_sensitive,lang
881666595344535552,2017-07-03 00:11:11 +0000,,13.0,10,Gary,undefined,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1,saluki,0.529012,True,afghan_hound,0.25000300000000003,True,golden_retriever,0.16073900000000002,True,2017-07-03 00:11:11+00:00,11099,51522,0.0,en
881536004380872706,2017-07-02 15:32:16 +0000,,14.0,10,a,pupper,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1,samoyed,0.281463,True,angora,0.272066,False,persian_cat,0.114854,False,2017-07-02 15:32:16+00:00,16570,50199,0.0,en
881268444196462592,2017-07-01 21:49:04 +0000,,12.0,10,Elliot,undefined,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,1,tusker,0.473303,False,indian_elephant,0.245646,False,ibex,0.0556607,False,2017-07-01 21:49:04+00:00,5358,23501,0.0,en
880935762899988482,2017-06-30 23:47:07 +0000,,13.0,10,Louis,undefined,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,1,street_sign,0.251801,False,umbrella,0.115123,False,traffic_light,0.0695338,False,2017-06-30 23:47:07+00:00,2886,17346,0.0,en
880872448815771648,2017-06-30 19:35:32 +0000,,12.0,10,None,undefined,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1,pembroke,0.791416,True,norwich_terrier,0.0613929,True,chihuahua,0.0337257,True,2017-06-30 19:35:32+00:00,3989,21734,0.0,en
880465832366813184,2017-06-29 16:39:47 +0000,,12.0,10,Bella,undefined,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,1,golden_retriever,0.913255,True,labrador_retriever,0.0263286,True,cocker_spaniel,0.00937082,True,2017-06-29 16:39:47+00:00,6546,29075,0.0,en
880221127280381952,2017-06-29 00:27:25 +0000,,12.0,10,Jesse,undefined,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,1,chihuahua,0.238525,True,meerkat,0.104256,False,clumber,0.0525803,True,2017-06-29 00:27:25+00:00,4436,27640,0.0,en
880095782870896641,2017-06-28 16:09:20 +0000,,11.0,10,None,undefined,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,1,miniature_pinscher,0.120298,True,rhodesian_ridgeback,0.106395,True,beagle,0.106073,True,2017-06-28 16:09:20+00:00,4533,28150,0.0,en
879862464715927552,2017-06-28 00:42:13 +0000,,13.0,10,Romeo,undefined,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,3,basset,0.813507,True,beagle,0.146654,True,cocker_spaniel,0.00948502,True,2017-06-28 00:42:13+00:00,3642,22667,0.0,en
879492040517615616,2017-06-27 00:10:17 +0000,,12.0,10,Bailey,undefined,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1,german_short-haired_pointer,0.479896,True,vizsla,0.124353,True,bath_towel,0.0733202,False,2017-06-27 00:10:17+00:00,3323,23822,0.0,en
879415818425184262,2017-06-26 19:07:24 +0000,,13.0,10,Duddles,undefined,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,1,english_springer,0.383404,True,boston_bull,0.134967,True,cardigan,0.110481,True,2017-06-26 19:07:24+00:00,45849,107956,0.0,en
879376492567855104,2017-06-26 16:31:08 +0000,,12.0,10,Jack,undefined,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,1,tricycle,0.663601,False,labrador_retriever,0.0334961,True,pembroke,0.0188266,True,2017-06-26 16:31:08+00:00,3261,17099,0.0,en
879050749262655488,2017-06-25 18:56:45 +0000,,11.0,10,Steven,undefined,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,1,tabby,0.311861,False,window_screen,0.169123,False,egyptian_cat,0.132932,False,2017-06-25 18:56:45+00:00,4941,23022,0.0,en
879008229531029506,2017-06-25 16:07:47 +0000,,13.0,10,Beau,undefined,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,1,vizsla,0.960513,True,miniature_pinscher,0.00943065,True,american_staffordshire_terrier,0.0087113,True,2017-06-25 16:07:47+00:00,2812,19317,0.0,en
878776093423087618,2017-06-25 00:45:22 +0000,,13.0,10,Snoopy,puppo,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,2,italian_greyhound,0.734684,True,whippet,0.15048699999999998,True,ibizan_hound,0.0397246,True,2017-06-25 00:45:22+00:00,4319,19763,0.0,en
878281511006478336,2017-06-23 16:00:04 +0000,,13.0,10,Shadow,undefined,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,1,basset,0.32042,True,collie,0.215975,True,appenzeller,0.12850699999999998,True,2017-06-23 16:00:04+00:00,1349,7913,0.0,en
878057613040115712,2017-06-23 01:10:23 +0000,,14.0,10,Emmy,undefined,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,1,french_bulldog,0.839097,True,boston_bull,0.07879939999999999,True,toy_terrier,0.0152434,True,2017-06-23 01:10:23+00:00,7181,42876,0.0,en
877736472329191424,2017-06-22 03:54:17 +0000,,13.0,10,Aja,undefined,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,2,chesapeake_bay_retriever,0.8379559999999999,True,labrador_retriever,0.0620342,True,weimaraner,0.0405991,True,2017-06-22 03:54:17+00:00,17300,71144,0.0,en
877611172832227328,2017-06-21 19:36:23 +0000,8.76850772322988e+17,14.0,10,None,pupper,https://pbs.twimg.com/media/DCszHgmW0AAmIpT.jpg,1,irish_setter,0.364729,True,golden_retriever,0.202907,True,irish_terrier,0.107473,True,2017-06-21 19:36:23+00:00,83,0,0.0,en
877556246731214848,2017-06-21 15:58:08 +0000,,12.0,10,Penny,undefined,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,1,basset,0.995368,True,welsh_springer_spaniel,0.00193621,True,bathtub,0.000467919,False,2017-06-21 15:58:08+00:00,3994,23258,0.0,en
877316821321428993,2017-06-21 00:06:44 +0000,,13.0,10,Dante,undefined,https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,1,saluki,0.5099670000000001,True,italian_greyhound,0.0904973,True,golden_retriever,0.0794058,True,2017-06-21 00:06:44+00:00,5414,27907,0.0,en
877201837425926144,2017-06-20 16:29:50 +0000,,12.0,10,Nelly,undefined,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,1,pembroke,0.93112,True,cardigan,0.0686982,True,basenji,8.17379e-05,True,2017-06-20 16:29:50+00:00,5880,27755,0.0,en
876838120628539392,2017-06-19 16:24:33 +0000,,12.0,10,Ginger,pupper,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,1,bloodhound,0.575751,True,redbone,0.24097,True,tibetan_mastiff,0.08893480000000001,True,2017-06-19 16:24:33+00:00,3506,21125,0.0,en
876484053909872640,2017-06-18 16:57:37 +0000,,13.0,10,Benedict,undefined,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,1,golden_retriever,0.874566,True,irish_terrier,0.0373542,True,chow,0.016723599999999998,True,2017-06-18 16:57:37+00:00,2511,19163,0.0,en
876120275196170240,2017-06-17 16:52:05 +0000,,13.0,10,Venti,undefined,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,1,bernese_mountain_dog,0.534327,True,saint_bernard,0.346312,True,greater_swiss_mountain_dog,0.0949327,True,2017-06-17 16:52:05+00:00,4903,28490,0.0,en
